_id,name,description,price,stock,image,brand,rating,categories[0],reviews[0],reviews[1],__v,createdAt,updatedAt
696559c97f0f6a716067ba1c,Sérum Vitamine C,Sérum éclaircissant à la vitamine C pure,45.99,50,,GlowLab,4.5,696559c97f0f6a716067ba15,696559ca7f0f6a716067ba54,696559ca7f0f6a716067ba81,2,2026-01-12T20:30:01.704Z,2026-01-12T20:30:02.390Z
696559c97f0f6a716067ba1d,Crème Hydratante Bio,Crème hydratante certifiée bio,32.5,75,,NatureSkin,4.8,696559c97f0f6a716067ba16,696559ca7f0f6a716067ba57,696559ca7f0f6a716067ba84,2,2026-01-12T20:30:01.704Z,2026-01-12T20:30:02.391Z
696559c97f0f6a716067ba1e,Mascara Volume XXL,Mascara effet volume intense,18.9,100,,BeautyPro,4.2,696559c97f0f6a716067ba17,696559ca7f0f6a716067ba5a,696559ca7f0f6a716067ba87,2,2026-01-12T20:30:01.704Z,2026-01-12T20:30:02.393Z
696559c97f0f6a716067ba1f,Rouge à Lèvres Mat,Rouge à lèvres longue tenue effet mat,22,80,,ColorMe,4.6,696559c97f0f6a716067ba18,696559ca7f0f6a716067ba5d,696559ca7f0f6a716067ba8a,2,2026-01-12T20:30:01.704Z,2026-01-12T20:30:02.394Z
696559c97f0f6a716067ba20,Parfum Floral Élégance,Eau de parfum aux notes florales,89.99,30,,Essence,4.9,696559c97f0f6a716067ba19,696559ca7f0f6a716067ba60,696559ca7f0f6a716067ba8d,2,2026-01-12T20:30:01.705Z,2026-01-12T20:30:02.396Z
696559c97f0f6a716067ba21,Gel Douche Relaxant,Gel douche à la lavande,12.5,120,,PureSpa,4.3,696559c97f0f6a716067ba1a,696559ca7f0f6a716067ba63,,1,2026-01-12T20:30:01.705Z,2026-01-12T20:30:02.371Z
696559c97f0f6a716067ba22,Shampooing Réparateur,Shampooing pour cheveux abîmés,15.9,90,,HairCare,4.4,696559c97f0f6a716067ba15,696559ca7f0f6a716067ba66,,1,2026-01-12T20:30:01.705Z,2026-01-12T20:30:02.373Z
696559c97f0f6a716067ba23,Masque Capillaire Intense,Masque nourrissant profond,28,60,,HairCare,4.7,696559c97f0f6a716067ba16,696559ca7f0f6a716067ba69,,1,2026-01-12T20:30:01.705Z,2026-01-12T20:30:02.376Z
696559c97f0f6a716067ba24,Vernis à Ongles Rose,Vernis longue tenue rose poudré,9.99,150,,NailArt,4.1,696559c97f0f6a716067ba17,696559ca7f0f6a716067ba6c,,1,2026-01-12T20:30:01.705Z,2026-01-12T20:30:02.378Z
696559c97f0f6a716067ba25,Fond de Teint Fluide,Fond de teint couvrance moyenne,35,70,,BeautyPro,4.5,696559c97f0f6a716067ba18,696559ca7f0f6a716067ba6f,,1,2026-01-12T20:30:01.705Z,2026-01-12T20:30:02.380Z
696559c97f0f6a716067ba26,Palette Ombres à Paupières,12 teintes pour tous les looks,42,55,,ColorMe,4.8,696559c97f0f6a716067ba19,696559ca7f0f6a716067ba72,,1,2026-01-12T20:30:01.705Z,2026-01-12T20:30:02.382Z
696559c97f0f6a716067ba27,Crème Anti-Âge Premium,Crème anti-rides haute performance,78.5,40,,GlowLab,4.9,696559c97f0f6a716067ba1a,696559ca7f0f6a716067ba75,,1,2026-01-12T20:30:01.705Z,2026-01-12T20:30:02.383Z
696559c97f0f6a716067ba28,Lotion Corps Hydratante,Lotion hydratation 24h,19.9,85,,PureSpa,4.4,696559c97f0f6a716067ba15,696559ca7f0f6a716067ba78,,1,2026-01-12T20:30:01.705Z,2026-01-12T20:30:02.385Z
696559c97f0f6a716067ba29,Eau Micellaire Douce,Démaquillant tout-en-un,14.5,110,,NatureSkin,4.6,696559c97f0f6a716067ba16,696559ca7f0f6a716067ba7b,,1,2026-01-12T20:30:01.705Z,2026-01-12T20:30:02.387Z
696559c97f0f6a716067ba2a,Baume à Lèvres Réparateur,Baume nourrissant pour lèvres sèches,7.99,200,,NatureSkin,4.3,696559c97f0f6a716067ba17,696559ca7f0f6a716067ba7e,,1,2026-01-12T20:30:01.705Z,2026-01-12T20:30:02.388Z
